2018-11-05 09:07:49.280 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:4760
2018-11-05 09:07:57.278 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:4864
2018-11-05 09:09:43.918 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:05:19.623 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:05:28.544 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:5000
2018-11-05 10:06:05.723 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:4999
2018-11-05 10:33:18.901 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:4950
2018-11-05 10:33:52.528 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:4950
2018-11-05 10:34:33.476 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:99
2018-11-05 10:34:36.571 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:99
2018-11-05 10:34:39.325 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:34:42.403 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:98
2018-11-05 10:34:45.459 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:37.512 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:42.329 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:44.850 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:47.237 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:49.712 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:51.533 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:37:53.027 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:100
2018-11-05 10:38:00.099 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:70
2018-11-05 10:38:03.126 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
2018-11-05 10:38:04.662 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
2018-11-05 10:38:05.773 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
2018-11-05 10:38:08.799 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
2018-11-05 10:38:09.933 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
2018-11-05 10:38:11.259 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
2018-11-05 10:38:12.712 [main] INFO  c.f.s.test.CopyOnWriteArrayListExample - size:1000
